년,합계(시내),서울특별시(시내),부산광역시(시내),대구광역시(시내),인천광역시(시내),광주광역시(시내),대전광역시(시내),울산광역시(시내),세종특별자치시(시내),경기도(시내),강원도(시내),충청북도(시내),충청남도(시내),전라북도(시내),전라남도(시내),경상북도(시내),경상남도(시내),제주특별자치도(시내),합계(저상),서울특별시(저상),부산광역시(저상),대구광역시(저상),인천광역시(저상),광주광역시(저상),대전광역시(저상),울산광역시(저상),세종특별자치시(저상),경기도(저상),강원도(저상),충청북도(저상),충청남도(저상),전라북도(저상),전라남도(저상),경상북도(저상),경상남도(저상),제주특별자치도(저상)
2012,32934,7530,2511,1561,2338,930,965,678,0,10069,564,542,827,825,685,1119,1618,172,4215,1901,228,158,135,82,132,67,0,883,119,87,17,42,37,24,302,0
2013,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167,5338,2147,329,203,240,116,168,80,0,1179,158,101,52,72,54,45,384,10
2014,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167,6026,2445,399,283,288,126,203,90,0,1236,170,109,58,106,59,60,384,10
2015,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167,6751,2653,464,362,326,166,241,100,0,1347,184,121,71,149,74,97,386,10
2016,33887,7436,2511,1521,2322,998,965,729,138,10590,569,578,944,829,713,1197,1653,194,7572,3005,516,451,356,212,264,107,40,1404,195,131,85,176,89,140,391,10
2017,33796,7134,2517,1521,2324,1041,1016,741,184,10138,659,537,791,976,736,1444,1647,390,7579,3110,528,473,374,200,245,93,45,1344,189,119,57,171,80,149,334,68
2018,34287,7405,2517,1521,2341,1041,1016,830,235,10548,554,586,874,827,722,1177,1704,389,8016,3332,560,526,400,213,279,96,54,1343,193,122,61,182,85,164,318,88
2019,34086,7316,2489,1599,2331,1032,1005,827,281,10460,539,628,795,820,715,1167,1697,385,9016,3945,638,546,469,215,289,101,66,1422,187,131,74,186,97,177,370,103
2020,35445,7392,2517,1617,2325,1044,1016,844,244,11375,518,637,883,829,882,1212,1720,389,9840,4272,687,565,528,261,318,104,68,1608,187,128,88,195,101,196,406,128
2021,35335,7395,2517,1623,2204,999,1015,848,268,11007,511,637,902,818,737,1285,1739,830,10828,4412,728,608,580,297,339,103,100,2112,203,137,89,187,124,222,439,148
